,molecule_chembl_id,smiles,ic50,tox_free,bbb,qed,sa,lip,carc
105,CHEMBL4470582,O=C(NO)c1cccc(OCc2ccc(-c3ccccc3)cc2)c1,19610.0,False,False,0.5507665840375816,1.6788934633306773,0,True
106,CHEMBL4541230,O=C(NO)c1cccc(OCc2ccc(-c3cccnc3)cc2)c1,52300.0,False,False,0.5578071614744374,1.863450825968041,0,True
107,CHEMBL4172049,CC(C)N1C(=N)/C(=C\c2nc(=O)c3ccccc3[nH]2)c2ccccc21,31622.8,False,False,0.7527986001098987,2.7278386684626668,0,False
108,CHEMBL4446879,COc1ccc(C(=O)NO)cc1OCc1ccc(-c2ccccc2)cc1,3630.0,False,False,0.5201163679873251,1.7540424125405831,0,True
109,CHEMBL4534608,O=C(NO)c1cccc(OCc2ccc(-c3noc(-c4ccccc4)n3)cc2)c1,100000.0,False,False,0.381807491516987,2.0136924328334427,0,True
110,CHEMBL4539103,O=C(NO)c1cccc(OCc2ccc(-c3noc(-c4ccc(Br)cc4)n3)cc2)c1,100000.0,False,True,0.31116523915017186,2.1219079849928324,0,True
111,CHEMBL4450680,O=C(NO)c1cccc(OCc2ccc(/C=C/c3ccccc3)cc2)c1,100000.0,False,False,0.3912276037508482,1.9010039833907832,0,True
112,CHEMBL4464443,CCc1nc(-c2ccc(COc3cccc(C(=O)NO)c3)cc2)no1,34720.0,False,False,0.5291356860737341,2.0721185438689496,0,True
113,CHEMBL4531162,O=C(NO)c1cccc(OCc2ccc(-c3noc(-c4cccc(F)c4)n3)cc2)c1,100000.0,False,True,0.3678451363587204,2.1282278788920372,0,True
114,CHEMBL4454903,O=C(NO)c1cccc(OCc2ccc(-c3noc(-c4ccccc4F)n3)cc2)c1,100000.0,False,True,0.3678451363587203,2.1255620963986672,0,True
115,CHEMBL4520414,CCc1nc(-c2ccc(COc3cc(C(=O)NO)ccc3OC)cc2)no1,8220.0,False,False,0.48685186137023617,2.123775112687172,0,True
116,CHEMBL4441973,COc1ccc(C(=O)NO)cc1OCc1ccc(-c2noc(-c3ccccc3)n2)cc1,15910.0,False,True,0.3441733591584274,2.078436011294704,0,True
117,CHEMBL4450237,COc1ccc(C(=O)NO)cc1OCc1ccc(-c2noc(-c3ccc(Br)cc3)n2)cc1,100000.0,False,True,0.2777310684604412,2.1828326454059717,0,True
